Data Source,World Development Indicators,,,
,,,,
"Egypt, Arab Rep.",EGY,Military expenditure (current USD),MS.MIL.XPND.CD,3743671452
Euro area,EMU,Military expenditure (current USD),MS.MIL.XPND.CD,1.83E+11
Eritrea,ERI,Military expenditure (current USD),MS.MIL.XPND.CD,
Spain,ESP,Military expenditure (current USD),MS.MIL.XPND.CD,17189319301
Estonia,EST,Military expenditure (current USD),MS.MIL.XPND.CD,637035378.4
Ethiopia,ETH,Military expenditure (current USD),MS.MIL.XPND.CD,544839429.8
European Union,EUU,Military expenditure (current USD),MS.MIL.XPND.CD,2.18E+11
Fragile and conflict affected situations,FCS,Military expenditure (current USD),MS.MIL.XPND.CD,21223399159
Finland,FIN,Military expenditure (current USD),MS.MIL.XPND.CD,3629646216
Fiji,FJI,Military expenditure (current USD),MS.MIL.XPND.CD,79497171.86
France,FRA,Military expenditure (current USD),MS.MIL.XPND.CD,50118929212
Faroe Islands,FRO,Military expenditure (current USD),MS.MIL.XPND.CD,
"Micronesia, Fed. Sts.",FSM,Military expenditure (current USD),MS.MIL.XPND.CD,
Gabon,GAB,Military expenditure (current USD),MS.MIL.XPND.CD,266879196.1
United Kingdom,GBR,Military expenditure (current USD),MS.MIL.XPND.CD,56856133066
Georgia,GEO,Military expenditure (current USD),MS.MIL.XPND.CD,310614128.5
Ghana,GHA,Military expenditure (current USD),MS.MIL.XPND.CD,233320137
Gibraltar,GIB,Military expenditure (current USD),MS.MIL.XPND.CD,
Guinea,GIN,Military expenditure (current USD),MS.MIL.XPND.CD,197754330.7
"Gambia, The",GMB,Military expenditure (current USD),MS.MIL.XPND.CD,14529115.74
Guinea-Bissau,GNB,Military expenditure (current USD),MS.MIL.XPND.CD,22571242.31
Equatorial Guinea,GNQ,Military expenditure (current USD),MS.MIL.XPND.CD,160714590.5
Greece,GRC,Military expenditure (current USD),MS.MIL.XPND.CD,5471562920
Grenada,GRD,Military expenditure (current USD),MS.MIL.XPND.CD,
Greenland,GRL,Military expenditure (current USD),MS.MIL.XPND.CD,
Guatemala,GTM,Military expenditure (current USD),MS.MIL.XPND.CD,331882551.6
Guam,GUM,Military expenditure (current USD),MS.MIL.XPND.CD,
Guyana,GUY,Military expenditure (current USD),MS.MIL.XPND.CD,67206937.71
High income,HIC,Military expenditure (current USD),MS.MIL.XPND.CD,1.28E+12
"Hong Kong SAR, China",HKG,Military expenditure (current USD),MS.MIL.XPND.CD,
