Data Source,World Development Indicators,,,
,,,,
Last Updated Date,2/15/2022,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2019
Aruba,ABW,"Population, total",SP.POP.TOTL,106310
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,660046272
Afghanistan,AFG,"Population, total",SP.POP.TOTL,38041757
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,446911598
Angola,AGO,"Population, total",SP.POP.TOTL,31825299
Albania,ALB,"Population, total",SP.POP.TOTL,2854191
Andorra,AND,"Population, total",SP.POP.TOTL,77146
Arab World,ARB,"Population, total",SP.POP.TOTL,427870273
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9770526
Argentina,ARG,"Population, total",SP.POP.TOTL,44938712
Armenia,ARM,"Population, total",SP.POP.TOTL,2957728
American Samoa,ASM,"Population, total",SP.POP.TOTL,55312
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,97115
Australia,AUS,"Population, total",SP.POP.TOTL,25365745
Austria,AUT,"Population, total",SP.POP.TOTL,8879920
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10024283
Burundi,BDI,"Population, total",SP.POP.TOTL,11530577
Belgium,BEL,"Population, total",SP.POP.TOTL,11488980
Benin,BEN,"Population, total",SP.POP.TOTL,11801151
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,20321383
Bangladesh,BGD,"Population, total",SP.POP.TOTL,163046173
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6975761
Bahrain,BHR,"Population, total",SP.POP.TOTL,1641164
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,389486
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3300998
Belarus,BLR,"Population, total",SP.POP.TOTL,9419758
Belize,BLZ,"Population, total",SP.POP.TOTL,390351
Bermuda,BMU,"Population, total",SP.POP.TOTL,63913
Bolivia,BOL,"Population, total",SP.POP.TOTL,11513102
Brazil,BRA,"Population, total",SP.POP.TOTL,211049519
Barbados,BRB,"Population, total",SP.POP.TOTL,287021
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,433296
Bhutan,BTN,"Population, total",SP.POP.TOTL,763094
Botswana,BWA,"Population, total",SP.POP.TOTL,2303703
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4745179
Canada,CAN,"Population, total",SP.POP.TOTL,37593384
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102398537
Switzerland,CHE,"Population, total",SP.POP.TOTL,8575280
Channel Islands,CHI,"Population, total",SP.POP.TOTL,172264
Chile,CHL,"Population, total",SP.POP.TOTL,18952035
China,CHN,"Population, total",SP.POP.TOTL,1407745000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,25716554
Cameroon,CMR,"Population, total",SP.POP.TOTL,25876387
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,86790568
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5380504
Colombia,COL,"Population, total",SP.POP.TOTL,50339443
Comoros,COM,"Population, total",SP.POP.TOTL,850891
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,549936
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5047561
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7401389
Cuba,CUB,"Population, total",SP.POP.TOTL,11333484
Curacao,CUW,"Population, total",SP.POP.TOTL,157441
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,64948
Cyprus,CYP,"Population, total",SP.POP.TOTL,1198574
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10671870
Germany,DEU,"Population, total",SP.POP.TOTL,83092962
Djibouti,DJI,"Population, total",SP.POP.TOTL,973557
Dominica,DMA,"Population, total",SP.POP.TOTL,71808
Denmark,DNK,"Population, total",SP.POP.TOTL,5814422
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10738957
Algeria,DZA,"Population, total",SP.POP.TOTL,43053054
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2103705075
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3290291029
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2350703749
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,418757748
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,920806339
Ecuador,ECU,"Population, total",SP.POP.TOTL,17373657
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,100388076
Euro area,EMU,"Population, total",SP.POP.TOTL,342282081
Eritrea,ERI,"Population, total",SP.POP.TOTL,
Spain,ESP,"Population, total",SP.POP.TOTL,47133521
Estonia,EST,"Population, total",SP.POP.TOTL,1326898
Ethiopia,ETH,"Population, total",SP.POP.TOTL,112078727
European Union,EUU,"Population, total",SP.POP.TOTL,447196538
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,908739462
